country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,desc_len
Argentina,"Vegetal-leaning, stewy aromas of plum and jammy berry are saucy. This feels sticky and low in acidity. Grassy, herbal plum and berry flavors are a bit green on the finish.",Misterio,83,10.0,Mendoza Province,Mendoza,0,Michael Schachner,@wineschach,Finca Flichman 2015 Misterio Malbec (Mendoza),Malbec,Finca Flichman,171
US,"Dark-fruit flavors reach a high level of ripeness in this full-bodied wine while a firm texture of supportive acidity and moderate tannins keep it balanced. It's tight and concentrated now, so best to drink after 2019.",0,91,49.0,California,Anderson Valley,0,Jim Gordon,@gordone_cellars,Bink 2014 Pinot Noir (Anderson Valley),Pinot Noir,Bink,218
Austria,"With notions of cherry and cinnamon on the nose and just slight fizz, this is a refreshing, fruit-driven sparkling rosé that's full of strawberry and cherry notes—it might just be the very definition of easy summer wine. It ends dry, yet refreshing.",Frizzante Rosé,85,21.0,Österreichischer Perlwein,0,0,Anne Krebiehl MW,@AnneInVino,Gebeshuber 2013 Frizzante Rosé Pinot Noir (Österreichischer Perlwein),Pinot Noir,Gebeshuber,249
US,"The unique flavors of this special block match pretty red-berry fruit to aromatic suggestions of potpourri and bouquet garni. It's detailed and nicely knitted together, with a pleasing hint of coconut carrying through the finish.",Southeast Block,93,56.0,Oregon,Eola-Amity Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Bethel Heights 2014 Southeast Block Pinot Noir (Eola-Amity Hills),Pinot Noir,Bethel Heights,229
US,"This rich and round, Rhône Ranger red is loaded with fruit. The flavors pile on, one after another, beginning with citrus, banana and orange, and moving into berry and cherry and currant. It's underscored with moderate acidity and hints of pepper and tea.",Red Roan Red Wine,88,30.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Tagaris 2005 Red Roan Red Wine Red (Columbia Valley (WA)),Red Blend,Tagaris,255
Italy,"Made mostly with Sangiovese and topped up with a small amount of Canaiolo and Malvasia Nera, this offers aromas that recall red berry, dark spice, menthol and a whiff of moist earth. The easygoing, tangy palate offers wild cherry, orange zest and a hint of clove alongside zesty acidity. Enjoy through 2016.",0,86,0.0,Tuscany,Chianti Classico,0,Kerin O’Keefe,@kerinokeefe,Casa Emma 2013  Chianti Classico,Red Blend,Casa Emma,307
Italy,"Aromas of toasted nut and dried stone fruit lead the nose on this structured white. On the palate, dried herb and a mineral note accent the core of yellow apple and citrus. Fresh acidity generates a clean finish.",0,88,32.0,Northeastern Italy,Friuli Isonzo,0,Kerin O’Keefe,@kerinokeefe,Borgo San Daniele 2013 Friulano (Friuli Isonzo),Friulano,Borgo San Daniele,212
US,"Rich in leather and oak, with swirls of ripe red raspberry and blackberry cobbler, this is a big-boy Zinfandel with hair on its chest, a taste of vanilla on the finish.",Old Vine,85,16.0,California,Lodi,Central Valley,Virginie Boone,@vboone,Seven Deadly Zins 2011 Old Vine Zinfandel (Lodi),Zinfandel,Seven Deadly Zins,168
Italy,"Ripe and full bodied, this has aromas of lightly toasted oak, vanilla, red berry and coffee. On the palate, notes of mocha, anisette and grilled herb accent crushed wild cherry while bracing tannins provide structure. It closes on a licorice note.",Archineri Rosso,90,35.0,Sicily & Sardinia,Etna,0,Kerin O’Keefe,@kerinokeefe,Pietradolce 2012 Archineri Rosso  (Etna),Nerello Mascalese,Pietradolce,247
Argentina,"This warm-climate Chardonnay displays aromas of baked apple, toast and spice. It's resiny and heavy in the mouth, but there's enough acidity to maintain balance. Flavors of honeyed peach, baked apple, cinnamon and white pepper finish in tropical fashion, where banana is the lasting fruit note.",Bramare Marchiori Vineyard,88,46.0,Mendoza Province,Perdriel,0,Michael Schachner,@wineschach,Viña Cobos 2012 Bramare Marchiori Vineyard Chardonnay (Perdriel),Chardonnay,Viña Cobos,294
US,"Full bodied and softly tannic, this wine's fruit is front and center, wrapped in a subtle jacket of sweet oak. It dazzles with blackberries, cherries, raspberries, currants and chocolate flavors. Drink now for its sheer lusciousness.",0,90,32.0,California,Napa Valley,Napa,0,0,White Oak 2009 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,White Oak,233
France,"This wine comes from a vineyard, created in 1894, in which the vines are planted against walls to get the maximum reflected heat. It is a majestic wine—a smooth wave, opulent and rich with intense acidity and just a hint of spice. The wine is just ready to drink, although it will be even more impressive from 2018.",Clos d'Entre les Murs,95,120.0,Loire Valley,Saumur,0,Roger Voss,@vossroger,Château de Parnay 2011 Clos d'Entre les Murs  (Saumur),Chenin Blanc,Château de Parnay,315
France,"This firmly structured, beautifully crafted wine has a solid backdrop of tannins and plenty of concentration. Beyond that, it is already well balanced, bringing together its dark texture and blackberry fruit flavors with generous acidity. It needs to age, drink from 2020.",0,94,0.0,Bordeaux,Margaux,0,Roger Voss,@vossroger,Château Rauzan-Ségla 2012  Margaux,Bordeaux-style Red Blend,Château Rauzan-Ségla,272
France,"This wine has some richness, with ripe black currants and balanced acidity. The wood-aging just shows but, again, is balanced. With its fresh fruitiness, the wine will age quickly, so drink from 2017.",0,88,45.0,Bordeaux,Haut-Médoc,0,Roger Voss,@vossroger,Château Balac 2013  Haut-Médoc,Bordeaux-style Red Blend,Château Balac,200
France,"Firm tannins make this wine solid and dry. It has banana and bright cherry fruits well integrated with the acidity. The aftertaste suggests the wine could benefit from a few more months before drinking, so wait until 2017.",0,85,15.0,Beaujolais,Beaujolais-Villages,0,Roger Voss,@vossroger,Domaine Foretal 2015  Beaujolais-Villages,Gamay,Domaine Foretal,222
US,"There is a delicious, citrusy kick to this wine, lifting the bright berry fruit flavors. The flavors pile on, with peppery spice and chocolate, and a complex midpalate that tastes like cherry cola.",Guadalupe Vineyard,92,40.0,Oregon,Willamette Valley,0,Paul Gregutt,@paulgwine ,Soléna 2009 Guadalupe Vineyard Pinot Noir,Pinot Noir,Soléna,197
